,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
58,635,19/07/2013 19:06,19/07/2013 19:16,469,Broadway & W 53 St,40.76344058,-73.98268129,388,W 26 St & 10 Ave,40.74971775,-74.00295035,17983,Subscriber,1984,1
59,1396,19/07/2013 19:15,19/07/2013 19:38,388,W 26 St & 10 Ave,40.74971775,-74.00295035,347,W Houston St & Hudson St,40.72873888,-74.00748842,16867,Subscriber,1977,2
60,783,19/07/2013 19:15,19/07/2013 19:28,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,388,W 26 St & 10 Ave,40.74971775,-74.00295035,15922,Subscriber,1984,2
61,559,19/07/2013 19:16,19/07/2013 19:25,446,W 24 St & 7 Ave,40.74487634,-73.99529885,388,W 26 St & 10 Ave,40.74971775,-74.00295035,17264,Subscriber,1972,1
62,928,19/07/2013 19:18,19/07/2013 19:34,388,W 26 St & 10 Ave,40.74971775,-74.00295035,485,W 37 St & 5 Ave,40.75038009,-73.98338988,18922,Subscriber,1970,1
63,1417,19/07/2013 19:24,19/07/2013 19:48,426,West St & Chambers St,40.71754834,-74.01322069,388,W 26 St & 10 Ave,40.74971775,-74.00295035,20206,Subscriber,1967,1
64,780,19/07/2013 19:27,19/07/2013 19:40,388,W 26 St & 10 Ave,40.74971775,-74.00295035,495,W 47 St & 10 Ave,40.76269882,-73.99301222,17264,Subscriber,1975,1
65,350,19/07/2013 19:34,19/07/2013 19:40,446,W 24 St & 7 Ave,40.74487634,-73.99529885,388,W 26 St & 10 Ave,40.74971775,-74.00295035,17590,Subscriber,1971,1
66,350,19/07/2013 19:34,19/07/2013 19:40,388,W 26 St & 10 Ave,40.74971775,-74.00295035,448,W 37 St & 10 Ave,40.75660359,-73.9979009,15922,Subscriber,1975,1
67,2020,19/07/2013 19:44,19/07/2013 20:17,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,388,W 26 St & 10 Ave,40.74971775,-74.00295035,17600,Subscriber,1975,2
68,3077,19/07/2013 19:44,19/07/2013 20:36,388,W 26 St & 10 Ave,40.74971775,-74.00295035,514,12 Ave & W 40 St,40.76087502,-74.00277668,15706,Subscriber,1974,1
69,147,19/07/2013 19:47,19/07/2013 19:50,152,Warren St & Church St,40.71473993,-74.00910627,388,W 26 St & 10 Ave,40.74971775,-74.00295035,17452,Subscriber,1974,1
70,730,19/07/2013 19:51,19/07/2013 20:03,388,W 26 St & 10 Ave,40.74971775,-74.00295035,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,17590,Subscriber,1968,2
